EALoadLoop.thisRepN,EALoadLoop.thisTrialN,EALoadLoop.thisN,EALoadLoop.thisIndex,EncLoadLoop.thisRepN,EncLoadLoop.thisTrialN,EncLoadLoop.thisN,EncLoadLoop.thisIndex,IALoadLoop.thisRepN,IALoadLoop.thisTrialN,IALoadLoop.thisN,IALoadLoop.thisIndex,RetLoadLoop.thisRepN,RetLoadLoop.thisTrialN,RetLoadLoop.thisN,RetLoadLoop.thisIndex,EAPractice2Trials.thisRepN,EAPractice2Trials.thisTrialN,EAPractice2Trials.thisN,EAPractice2Trials.thisIndex,welcomeText.started,welcomeKey.started,welcomeKey.keys,welcomeKey.rt,welcomeText2.started,welcomeKey2.started,welcomeKey2.keys,welcomeKey2.rt,EAPracticeText1.started,EAPracticeText2.started,EAPracticeRespText.started,EAPracticeKey.started,EAPracticeKey.keys,EAPracticeKey.rt,EAPractice2Text.started,EAPractice2Key.started,EAPractice2Key.keys,EAPractice2Key.rt,corr_key,stim_name,magnitude,stim_spec,num_big,EAPractice1Text1.started,EAPractice1Stim.started,EAPractice1Resp.started,EAPractice1Text2.started,EAPractice1Resp.keys,EAPractice1Resp.corr,EAPractice1Resp.rt,EAPostPractice1Text.started,EAPostPractice1Resp.started,EAPostPractice1Resp.keys,EAPostPractice1Resp.rt,FixCross.started,EATrialText1.started,EATrialStim.started,EATrialText2.started,EATrialResp.started,EATrialResp.keys,EATrialResp.corr,EATrialResp.rt,FixCross.stopped,EAPracticeEndText.started,EAPracticeEndKey.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,11.925121083011618,11.925121083011618,space,1.096202999993693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_13h17.58.283,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,13.053353416005848,13.053353416005848,1,1.076587459014263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_13h17.58.283,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.147560000012163,14.147560000012163,14.147560000012163,14.147560000012163,space,0.825224458007142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_13h17.58.283,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.988273375027347,14.988273375027347,1,1.6320070830115583,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_13h17.58.283,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ExAttn_Stim.219.jpeg,2,stars,8,16.693284916022094,16.693284916022094,16.693284916022094,18.127498291025404,3,0,2.543692666979041,,,,,,,,,,,,,,,,999,001,2025-02-18_13h17.58.283,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.28066458302783,19.28066458302783,1,1.1039804169849958,,,,,,,,,,,,999,001,2025-02-18_13h17.58.283,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,4,ExAttn_Stim.285.jpeg,0,diamonds,5,,,,,,,,,,,,20.412016791000497,20.959764166007517,20.959764166007517,22.37776054101414,22.37776054101414,2,0,0.896853751008166,,,,999,001,2025-02-18_13h17.58.283,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,3,ExAttn_Stim.123.jpeg,1,squares,6,,,,,,,,,,,,23.289157166000223,23.81495475000702,23.81495475000702,25.277500166004756,25.277500166004756,3,1,0.17816695899819024,23.81495475000702,,,999,001,2025-02-18_13h17.58.283,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,2,ExAttn_Stim.103.jpeg,0,triangles,5,,,,,,,,,,,,25.471864458027994,26.007389500009594,26.007389500009594,27.453226791025372,27.453226791025372,4,0,0.3265085419989191,26.007389500009594,,,999,001,2025-02-18_13h17.58.283,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,3,ExAttn_Stim.025.jpeg,1,circles,7,,,,,,,,,,,,27.811941541003762,28.342845208011568,28.342845208011568,29.787220541009447,29.787220541009447,3,1,0.029210457985755056,,,,999,001,2025-02-18_13h17.58.283,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.832170875015436,29.832170875015436,,,,,,,
